depth,seed,train_rmse,val_rmse,test_rmse,test_mae,test_pearson,test_spearman,test_kge,test_nse,test_fft_cosine,fft_metric_source,test_amplitude_ratio,total_parameter_count,encoding_parameter_count,mean_strength,mean_abs_strength_minus_1,min_strength,max_strength,mean_polar_shift_rad,mean_abs_polar_shift_rad,mean_phase_shift_rad,mean_abs_phase_shift_rad,max_abs_phase_shift_rad,min_adjacent_phase_gap_rad,max_adjacent_phase_gap_rad
5,42,17.666038033541184,48.83885323575274,57.6890113864277,44.336234417532495,0.5484959503567975,0.6314534522081691,0.4367333350012249,0.28273927864768544,0.9698196474964772,saved,0.6670143606204966,405,180,0.6749333766668353,0.41111825635273375,0.09229687005007448,1.4941067580871628,-0.03157980726295439,0.2215180154443709,0.002039458947902748,0.09953715548190864,0.2447541111241922,0.11211191749496052,0.9568621500269101
5,43,28.3090739125239,49.42083491359929,56.95613834713835,48.45971236076261,0.5515452970790736,0.6013684428778768,0.3708976588161593,0.3008474788228619,0.9679539893091532,saved,0.5611123047616087,405,180,0.6761795105000786,0.3566283790890854,0.18731948665385312,1.671293689991121,0.003834432882139282,0.23202960536432274,0.010465072028231881,0.08155163884075153,0.20590808705298272,0.215741117196524,0.9074975730269834
5,44,28.04767382158542,44.64883032221028,55.9380664974258,46.66217523232825,0.5707009241507117,0.5884511714700393,0.39148811103114634,0.32561833020586195,0.9786972898637086,saved,0.5687916611554845,405,180,0.6107726136639972,0.4087635727282839,0.21203421844432113,1.2894958670521308,0.043846831106055056,0.22884885740619365,0.01089211323879343,0.0863813957651271,0.2089794193389439,0.1909362316374449,0.7751401571956864
5,45,32.32423020885092,46.93819925476853,54.40398372426211,45.51926769759742,0.606028433656543,0.6530686294837238,0.39803381474950794,0.36210050315117726,0.9734941143947536,saved,0.545932284434486,405,180,0.6429350862952546,0.35925630585815965,0.31795084037570065,1.0657417646024339,-0.029372496447086265,0.21088628229261078,-0.00022442643697297252,0.06779639345892179,0.17304755496911967,0.2772606808012972,0.7444704906513757
5,46,35.297695656396236,47.40943478316305,54.603764239370506,46.343167676954344,0.6109782768727926,0.6566037735849055,0.4331820716736261,0.35740695420093926,0.9710759306187128,saved,0.5998619438027082,405,180,0.6952470227858739,0.3133543587094721,0.27503936130871653,1.075207492990296,-0.011778296078418762,0.27857859188722434,0.0023705956215969953,0.06839163472384259,0.17203416068238814,0.28688974280771085,0.8426134252291586
6,42,25.448852969154277,45.45515569710992,54.848325400562665,45.90525630384395,0.5938888893652313,0.6347086875388762,0.44522174985361984,0.3516379294688995,0.9716061490929802,saved,0.6222571673260974,483,216,0.5894769561959166,0.4129471464724407,0.12451726354803716,1.0684013034122306,-0.01961507852731769,0.22685902655553297,-0.014173994577392886,0.09534658826614824,0.22731913370202894,0.2372530455654811,0.9197526230112887
6,43,35.19220180409814,48.35513583860267,58.19351277721648,49.4685537524559,0.5214507796966341,0.5684739788513373,0.30823037760250316,0.2701392605223263,0.970127129366741,saved,0.5013182617825342,483,216,0.6267059326658102,0.37720742300498433,0.3608053254848461,1.1081637646999885,0.04618306493838139,0.21028396909541056,0.004265929259791652,0.06719324545400873,0.16484739878329016,0.2957236524932001,0.7661551773645472
6,44,26.736923042190206,44.919886836515325,56.70953806698087,45.983645806019055,0.5781902993557227,0.6330810698735226,0.49530760944781393,0.30688854734645377,0.9760751893501376,saved,0.7284038054229476,483,216,0.6422946777813263,0.4013852840769006,0.24670856886187953,1.476769805512337,0.02800225554790028,0.27648509343776156,0.006323611611623033,0.07215844111455713,0.17728561165408072,0.210441477917378,0.8771929040811615
6,45,30.846850133754977,47.34646935704226,56.504808298856055,47.06347468133587,0.5595814628933675,0.5744453659547999,0.3959939123070316,0.31188398236138415,0.9692805552243242,saved,0.587027138200995,483,216,0.6290609023311089,0.3790655965054824,0.2989412003721442,1.1105118404623553,0.030693528938093986,0.25930085581041223,-0.0038398790505616226,0.07041130780208306,0.18048412567572986,0.25585700593823635,0.8301559020400004
6,46,25.683702137746597,48.32347720329683,56.02679118598671,45.93527327503057,0.5689019524736755,0.5736471076093718,0.3966268493503282,0.3234773282129678,0.967379588220492,saved,0.5779135998957247,483,216,0.6839689357727146,0.4037859444448159,0.20667497608105223,1.6103259758501423,0.04081274803906834,0.23815420674555188,0.0006235929885634803,0.08744215970799814,0.24193009224697196,0.1869022492217569,0.9432446806844279
