depth,seed,layer,mean_strength,std_strength,mean_abs_strength_minus_1,mean_polar_shift_rad,mean_abs_polar_shift_rad,mean_phase_shift_rad,mean_abs_phase_shift_rad,max_abs_phase_shift_rad,min_adjacent_phase_gap_rad,max_adjacent_phase_gap_rad,mean_adjacent_phase_gap_rad
4,42,3,0.9761624711561034,0.40980216385109847,0.33341056103207584,-0.05978534488878894,0.3781036798193851,0.0031351100275607883,0.13371041016541,0.19944443618339572,0.17105964089747872,0.8498661077876537,0.5235987755982989
4,42,4,0.5031877953006209,0.1850902140866735,0.4968122046993792,0.12034534811963754,0.2241884663742282,0.020086965673864948,0.14164572546122786,0.23257598586584263,0.17033910690527865,0.8933558982339531,0.5235987755982989
4,43,1,0.6628699354939241,0.17858360517912178,0.34289722358079805,0.11765900110998247,0.31036761718448774,-0.01890259993432612,0.08829173056556523,0.1556427309276823,0.23467442226662705,0.6975591811395931,0.5235987755982988
4,43,2,0.611582747814676,0.1713494104951873,0.39167858588065446,0.26322487363166386,0.2837927463571232,-0.004697573495746595,0.05840056519616638,0.15313415168425829,0.39628482546277777,0.6769421197831296,0.5235987755982988
4,43,3,0.822756619054383,0.21045875273679399,0.21862839430987646,0.11696551706968282,0.2273579161922781,0.015899118830454695,0.0687987589189977,0.11692783709179501,0.3942940936015553,0.6972217095780677,0.5235987755982989
4,43,4,0.5702311170063692,0.12447188811739249,0.4297688829936308,-0.03278748457284042,0.3239595309454569,0.02825800936365541,0.07987360553016681,0.18884697335322034,0.27710238689870703,0.8305929140675883,0.5235987755982988
4,44,1,0.9254082133792524,0.3793656481863674,0.3099808772899915,0.13526061059421374,0.3874717737451023,0.01564554790709263,0.1235181877207346,0.19653391227860012,0.22192265493742003,0.8839550544715827,0.5235987755982988
4,44,2,0.6375658157073982,0.36373977311333583,0.41440317051749925,-0.039173006195765935,0.23815464672166387,0.011743351659591457,0.1032652588419314,0.19249084691302978,0.18434608387379559,0.7969512820588776,0.5235987755982988
4,44,3,0.6356815023115034,0.24444957684345148,0.4012255051234462,0.007910649800594518,0.1705672593404969,0.0037105786434182934,0.10527693909091147,0.21191985424811816,0.269442361476823,0.7271054730540514,0.5235987755982988
4,44,4,0.622018055858952,0.17246113395245044,0.3779819441410481,-0.027313617387736012,0.24082405851962965,-0.08829398013375435,0.12896892095993445,0.21656588629675144,0.24208208390495178,0.8253080944162994,0.5235987755982989
4,45,1,0.7899249304210118,0.30353294998614355,0.2982340588449078,0.1298048822800311,0.2548716761376579,-0.006433739164877268,0.08091619023997738,0.2082967275332911,0.31189120976408846,0.7956846382944838,0.5235987755982988
4,45,2,0.5927817082673273,0.2511437006890486,0.41828813021104977,0.17224229901271007,0.22331996652342148,-0.014978080327516593,0.06923703992048148,0.13343071387444097,0.41212886517107705,0.6471315954437467,0.5235987755982988
4,45,3,0.6647221336358218,0.1912341460223047,0.34460940175838556,0.09920127599390623,0.17732172169125282,-0.0046382610248525,0.04996498220414177,0.1834268975666705,0.26736338553781813,0.6850293954323101,0.5235987755982988
4,45,4,0.6138647025499063,0.21092419528863138,0.3861352974500936,-0.1982181885895786,0.2978028283596462,0.01007358686322986,0.11720141324101717,0.2453580641318439,0.05600479447264384,0.7558768080054112,0.5235987755982989
4,46,1,0.7554638557463037,0.11298526309054573,0.24453614425369627,0.09782961027314165,0.20602373710048083,-0.016158535502645552,0.07673455129321186,0.1318786718752551,0.3034538735809451,0.746380527178379,0.5235987755982988
