comparison,candidate_encoding,depth,seed,rmse_improvement_vs_ry,mae_improvement_vs_ry,pearson_improvement_vs_ry,kge_improvement_vs_ry,fft_improvement_vs_ry
ry_vs_learnable_seasonal_cdf,learnable_seasonal_cdf,3,42,10.060213281092743,8.977078186954344,0.2122122434077821,0.1549514556283081,0.23010861174578812
ry_vs_learnable_seasonal_cdf,learnable_seasonal_cdf,3,43,17.26087491368144,15.464720059128865,0.3496524484153243,0.3455166282526601,0.308123797122134
ry_vs_learnable_seasonal_cdf,learnable_seasonal_cdf,3,44,7.934764359753139,9.442797155710537,0.2258051516186696,0.35008519408447336,0.26684759462841634
ry_vs_learnable_seasonal_cdf,learnable_seasonal_cdf,3,45,12.449228035392032,13.428276768291155,0.4223352613166611,0.6749273543582714,0.6132483868474055
ry_vs_learnable_seasonal_cdf,learnable_seasonal_cdf,3,46,15.08407168210669,11.337380048316923,0.3086788090855264,0.2580895411919377,0.3710005029016491
ry_vs_learnable_seasonal_cdf,learnable_seasonal_cdf,4,42,17.035931643196605,16.18032161521368,0.37091538321274914,0.33429266764008897,0.04771980616862481
ry_vs_learnable_seasonal_cdf,learnable_seasonal_cdf,4,43,6.8204574494738,6.620555756145592,0.2119305723708576,0.3148604453422068,0.06420933594902833
ry_vs_learnable_seasonal_cdf,learnable_seasonal_cdf,4,44,12.207377665775823,10.633018351934247,0.3192888912963904,0.36003350626187736,0.07472967167102096
ry_vs_learnable_seasonal_cdf,learnable_seasonal_cdf,4,45,11.522138892757553,11.351937920898287,0.29297326132585627,0.3529314820471725,0.049552674850467215
ry_vs_learnable_seasonal_cdf,learnable_seasonal_cdf,4,46,15.015800503675848,13.07599162068415,0.3228172553961714,0.296328228388768,0.15786377106037353
ry_vs_learnable_seasonal_cdf,learnable_seasonal_cdf,5,42,14.48282377078732,12.52616807197333,0.3661197276333905,0.3049526947146395,0.511253158300189
ry_vs_learnable_seasonal_cdf,learnable_seasonal_cdf,5,43,10.0414413098868,7.947700455365904,0.23757061830579168,0.11547654336800409,0.35249785522568033
ry_vs_learnable_seasonal_cdf,learnable_seasonal_cdf,5,44,8.739596974433596,7.683506612148207,0.2667565042803113,0.3129517538817343,0.3690515359826343
ry_vs_learnable_seasonal_cdf,learnable_seasonal_cdf,5,45,12.991506583738435,12.574448292462527,0.383503143180974,0.4574764466950267,0.36446545160545585
ry_vs_learnable_seasonal_cdf,learnable_seasonal_cdf,5,46,11.026847056364254,10.686748414799794,0.2776171254778637,0.307308711304346,0.3379135185088449
ry_vs_learnable_seasonal_cdf,learnable_seasonal_cdf,6,42,11.068418469555198,12.444080447740568,0.6691387771553673,0.9107482919365253,0.8142955969956776
ry_vs_learnable_seasonal_cdf,learnable_seasonal_cdf,6,43,10.69079529837986,10.432385747363924,0.5405489622523478,0.7160331056336788,0.7026026870574672
ry_vs_learnable_seasonal_cdf,learnable_seasonal_cdf,6,44,14.113545487490235,14.464135335018163,0.5016521489258754,0.7719598401400336,0.6780535934501286
ry_vs_learnable_seasonal_cdf,learnable_seasonal_cdf,6,45,12.887496244193258,15.09563420245604,0.396852587351093,0.4570648637135106,0.4263698495957319
ry_vs_learnable_seasonal_cdf,learnable_seasonal_cdf,6,46,11.174684947434343,9.155494369091763,0.31742411685037775,0.2527751027421885,0.34043939121027156
ry_vs_learnable_seasonal_cdf_rz,learnable_seasonal_cdf_rz,1,42,6.261199061372629,6.42600756194625,0.19400413517083892,0.35313031139107565,0.012804715858848015
ry_vs_learnable_seasonal_cdf_rz,learnable_seasonal_cdf_rz,1,43,8.357260336920675,6.890324963580412,0.24284429718902723,0.37539736742626895,0.03201430068269118
ry_vs_learnable_seasonal_cdf_rz,learnable_seasonal_cdf_rz,1,44,7.970861329509255,4.7028099455255585,0.19020540053585427,0.30882277010047676,0.03186684295936926
ry_vs_learnable_seasonal_cdf_rz,learnable_seasonal_cdf_rz,1,45,7.033954582342815,6.424768510739582,0.20514490617111036,0.3635041081707555,0.02087949998764682
ry_vs_learnable_seasonal_cdf_rz,learnable_seasonal_cdf_rz,1,46,6.955140286278841,6.012612955245579,0.21171488663953547,0.3600810028635808,0.029553301324444448
ry_vs_learnable_seasonal_cdf_rz,learnable_seasonal_cdf_rz,2,42,15.045057970764688,13.173103778172987,0.3093836368642192,0.2544326028112812,0.09712883635642089
ry_vs_learnable_seasonal_cdf_rz,learnable_seasonal_cdf_rz,2,43,12.286289221310987,12.777410516182982,0.3291141757416412,0.44140516264236457,0.19177447331308317
ry_vs_learnable_seasonal_cdf_rz,learnable_seasonal_cdf_rz,2,44,9.454738927201795,11.062178223221757,0.21622043324451018,0.2541433404143303,0.05938473874894279
ry_vs_learnable_seasonal_cdf_rz,learnable_seasonal_cdf_rz,2,45,6.932140037654413,6.511990443899201,0.1962896402503883,0.24030192328575858,0.04629032136161482
ry_vs_learnable_seasonal_cdf_rz,learnable_seasonal_cdf_rz,2,46,8.035370129296517,7.6744634491032215,0.19415046819085818,0.2537706031323078,0.0112428942678644
ry_vs_learnable_seasonal_cdf_rz,learnable_seasonal_cdf_rz,3,42,8.394077779442156,7.829867555175241,0.18341053484830516,0.1603532523072192,0.23311481160762337
ry_vs_learnable_seasonal_cdf_rz,learnable_seasonal_cdf_rz,3,43,16.74520577350195,14.560855036302307,0.3433206864913262,0.32994332532046783,0.29268461642380017
ry_vs_learnable_seasonal_cdf_rz,learnable_seasonal_cdf_rz,3,44,7.154769489788045,8.84682919132419,0.21347618669913132,0.3556702356053303,0.2674995266778779
ry_vs_learnable_seasonal_cdf_rz,learnable_seasonal_cdf_rz,3,45,14.07081107819019,13.224842116933573,0.4495167025065493,0.7037354113335058,0.6234757301325204
ry_vs_learnable_seasonal_cdf_rz,learnable_seasonal_cdf_rz,3,46,16.751017802661465,12.869668492666008,0.3374190286480864,0.2878475829407819,0.37121907143189026
ry_vs_learnable_seasonal_cdf_rz,learnable_seasonal_cdf_rz,4,42,12.910148975097187,12.542944221815482,0.29639507933662596,0.2787556183694419,0.04535638054861124
ry_vs_learnable_seasonal_cdf_rz,learnable_seasonal_cdf_rz,4,43,7.173149445979313,7.44496569932366,0.21426421852351812,0.3104329232736148,0.06434179137556095
ry_vs_learnable_seasonal_cdf_rz,learnable_seasonal_cdf_rz,4,44,8.005178180101964,8.612157007135764,0.24740365173195322,0.3355357720351011,0.07239881847518692
ry_vs_learnable_seasonal_cdf_rz,learnable_seasonal_cdf_rz,4,45,11.168624824533275,11.355309331123031,0.28741772984930364,0.36312407796424506,0.053186448828151156
ry_vs_learnable_seasonal_cdf_rz,learnable_seasonal_cdf_rz,4,46,14.79833460352755,12.622651140923352,0.3186506019331476,0.2902142704789128,0.15944172363070153
ry_vs_learnable_seasonal_cdf_rz,learnable_seasonal_cdf_rz,5,42,12.220116857223864,13.83615186240079,0.3318686408489525,0.352009010082945,0.5069773990790897
ry_vs_learnable_seasonal_cdf_rz,learnable_seasonal_cdf_rz,5,43,9.439881230516718,7.574355054409956,0.21742909736907584,0.15942712508042503,0.34727254286013054
ry_vs_learnable_seasonal_cdf_rz,learnable_seasonal_cdf_rz,5,44,10.628148789262603,9.392108204821476,0.3063166537052423,0.33232154664321056,0.3725718857587249
ry_vs_learnable_seasonal_cdf_rz,learnable_seasonal_cdf_rz,5,45,12.202973620433603,11.156112922263546,0.3701482950857814,0.404955361697318,0.3662591060166499
ry_vs_learnable_seasonal_cdf_rz,learnable_seasonal_cdf_rz,5,46,10.574084643848067,9.257710801519877,0.2749547735603866,0.2706554697442735,0.3391419564706293
ry_vs_learnable_seasonal_cdf_rz,learnable_seasonal_cdf_rz,6,42,13.393577683978258,13.600041275430456,0.7128404780862497,0.9368637338995132,0.8130907642184968
ry_vs_learnable_seasonal_cdf_rz,learnable_seasonal_cdf_rz,6,43,10.310913636832623,9.900563984651747,0.531054254140793,0.6623997667349935,0.6980960902421122
ry_vs_learnable_seasonal_cdf_rz,learnable_seasonal_cdf_rz,6,44,11.110686939062688,12.93231553242692,0.462237844869377,0.7947229655943207,0.683604303308645
ry_vs_learnable_seasonal_cdf_rz,learnable_seasonal_cdf_rz,6,45,11.35681551477473,12.90684289788809,0.3635029748764174,0.44335631806343534,0.42229467585516267
ry_vs_learnable_seasonal_cdf_rz,learnable_seasonal_cdf_rz,6,46,9.994406422660504,9.427813542588474,0.27583146937279357,0.2957440086360291,0.3409213360602815
