encoding,depth,seed,seasonal_lag,center_fidelity,neighbor_geometric_mean_fidelity,neighbor_arithmetic_mean_fidelity,log10_seasonal_prominence,seasonal_prominence_ratio,seasonal_prominence_arithmetic_ratio
learnable_seasonal_cdf_rz,4,44,12,0.0227646643360524,9.877088586376532e-05,0.00010998485490071532,2.362632302119742,230.47949946962814,206.97999153249185
learnable_seasonal_cdf_rz,4,44,24,0.040256544702131,0.00010795166162721018,0.00012381503578135582,2.571607164284449,372.9126916188568,325.1345399860787
learnable_seasonal_cdf_rz,4,44,36,0.0163875542243302,9.076205076965288e-05,9.760305559667981e-05,2.2566098415127387,180.5551338402495,167.9000121886313
learnable_seasonal_cdf_rz,4,45,12,0.027181398056454,0.00019178638724177442,0.0002513676783149331,2.1514540123592862,141.72746276401725,108.1340219978442
learnable_seasonal_cdf_rz,4,45,24,0.0701279739841967,0.00026005422774933953,0.00038259620323264785,2.430827373623641,269.6667329392218,183.29500761290493
learnable_seasonal_cdf_rz,4,45,36,0.0189502838504077,0.00015847602211068455,0.0002050284783349243,2.077652158025812,119.57824027897567,92.42756910799221
learnable_seasonal_cdf_rz,4,46,12,0.0202493615803217,0.00015512552909442158,0.00020327631335677175,2.1157280595978687,130.53532644518066,99.61495880133313
learnable_seasonal_cdf_rz,4,46,24,0.0703628508840187,0.00017508448263378314,0.0002863306072315797,2.604095770213923,401.8794231536424,245.73988636538016
learnable_seasonal_cdf_rz,4,46,36,0.0165672714297026,0.00014318149180855776,0.0001764796054106716,2.0633641045408977,115.70819119452983,93.87640793478785
learnable_seasonal_cdf_rz,5,42,12,0.0094743384163951,8.782580581551813e-05,9.956450754878718e-05,2.03292675014604,107.87647580821923,95.15778915245093
learnable_seasonal_cdf_rz,5,42,24,0.0265974605358881,9.593880975014265e-05,0.00010897399109605459,2.442845847019565,277.23358883810374,244.07163827232773
learnable_seasonal_cdf_rz,5,42,36,0.0084526271799588,8.324297459018071e-05,8.96997058782774e-05,2.006644123149219,101.54162824637778,94.232496051091
learnable_seasonal_cdf_rz,5,43,12,0.00999971579318,8.59305731394396e-05,9.315591493087001e-05,2.0658399484212637,116.36970903188846,107.34386324905596
learnable_seasonal_cdf_rz,5,43,24,0.0517927650855423,0.00011256558318495729,0.00013927103648004373,2.6628634718226056,460.1119065002418,371.88468180147225
learnable_seasonal_cdf_rz,5,43,36,0.0048974488536306,7.801131480535208e-05,8.490550091670667e-05,1.7978123115712354,62.77869903680437,57.681172606649554
learnable_seasonal_cdf_rz,5,44,12,0.0259914244787399,0.00013627024192550046,0.0001639892527443693,2.2804290550367665,190.73441208792687,158.49468208295337
learnable_seasonal_cdf_rz,5,44,24,0.0622573889486136,0.00014864016030207984,0.00017607163660538484,2.6220547375639214,418.8463523053832,353.59124359220937
learnable_seasonal_cdf_rz,5,44,36,0.0232481766456121,0.00010856985490910999,0.000123823862404036,2.3306796394028444,214.13104645920788,187.75199056344678
learnable_seasonal_cdf_rz,5,45,12,0.0226730891134199,0.0001958923075914111,0.00028973242081714373,2.0634933127505843,115.74262099515948,78.25527101687169
learnable_seasonal_cdf_rz,5,45,24,0.0606979309381029,0.0002148656776507419,0.0003441946496810179,2.451006839737343,282.49244645189754,176.34768871147375
