encoding,depth,seed,tau,n_pairs,mean_fidelity,std_fidelity_over_time,median_fidelity,min_fidelity,max_fidelity,mean_infidelity,mean_log_fidelity,geometric_mean_fidelity,mean_fidelity_over_haar,median_fidelity_over_haar
ry,1,43,30,75,5.903271972636537e-08,3.512191948336356e-07,1.3390377726219095e-11,4.1506509849889527e-16,2.994705247282508e-06,0.9999999409672804,-24.43517339323772,2.443087552388752e-11,0.0009671920799967,2.1938794866637369e-07
ry,1,43,31,74,1.2011235318111877e-07,5.616983342263288e-07,1.0567981790229023e-09,1.0297965767433691e-14,3.4689305932299142e-06,0.9999998798876468,-20.940186183376117,8.049940874044803e-10,0.0019679207945194,1.7314581365111234e-05
ry,1,43,32,73,1.8806429029171092e-07,1.291273254083199e-06,1.271249953340413e-09,3.7229761340477673e-13,1.1047137121129282e-05,0.9999998119357096,-20.44905332455673,1.3154943313799486e-09,0.0030812453321393,2.0828159235529328e-05
ry,1,43,33,72,7.089731278011348e-06,3.730412175306937e-05,5.3410889188114545e-08,2.7183389502374996e-11,0.000273210101476,0.999992910268722,-17.048334263402257,3.9445957617774657e-08,0.1161581572589379,0.000875084008458
ry,1,43,34,71,0.0009344262893171,0.0046089347085846,1.5828229490605496e-06,1.901180801292583e-11,0.02690532250525,0.9990655737106828,-13.880233492263065,9.373271286017274e-07,15.309640324172111,0.025932971197408
ry,1,43,35,70,0.0063890048441709,0.0127328645313078,0.000360860438011,3.303646334870146e-06,0.0524382223468383,0.993610995155829,-7.834971516755443,0.0003956535842703,104.67745536689736,5.912337416373373
ry,1,43,36,69,0.0016935913506744,0.0038845983943229,0.0001208672515443,2.536965769662047e-07,0.0246474866844311,0.9983064086493256,-8.652954449212272,0.0001746102083479,27.74780068945033,1.9802890493024472
ry,1,43,37,68,0.0008725459258447,0.0039118295689647,3.036097135566668e-05,7.074423240590772e-09,0.0317700454591248,0.999127454074155,-10.57185031297564,2.562735267595288e-05,14.295792449040992,0.4974341546912429
ry,1,43,38,67,0.0001246609174852,0.0004039794558815,3.747443854831142e-06,1.0060000033604442e-10,0.0025835523529542,0.9998753390825148,-13.380331416772822,1.5452398502660905e-06,2.0424444720775403,0.0613981201175534
ry,1,43,39,66,4.055917916249703e-06,1.2871125949857791e-05,3.7285585159546495e-08,4.933716730127936e-13,7.410792376386813e-05,0.9999959440820836,-17.424290603262488,2.7084869032805082e-08,0.0664521591398351,0.000610887027254
ry,1,43,40,65,1.870755217134628e-08,1.0497485540995615e-07,7.66864884719527e-12,2.959535070772291e-18,8.032021926126411e-07,0.9999999812924478,-25.3533791771464,9.753653558647843e-12,0.0003065045347753,1.256431427124473e-07
ry,1,44,1,104,0.0227613346975402,0.0421935694173309,0.0031698079806311,7.989302158973407e-06,0.2008962826545147,0.9772386653024598,-6.064310955816411,0.0023243590489581,372.9217076844995,51.93413395466132
