encoding,depth,tau,n_seeds,mean_fidelity,sd_fidelity_across_seeds,mean_median_fidelity,sd_median_fidelity_across_seeds,mean_geometric_fidelity,mean_fidelity_over_haar,sd_fidelity_over_haar_across_seeds
learnable_seasonal_cdf_rz,4,14,5,7.664643925914015e-05,1.3917408699324183e-05,4.194368386380047e-05,4.433956013494361e-06,3.577985601923303e-05,1.2557752608217523,0.22802282412972735
learnable_seasonal_cdf_rz,4,15,5,7.723614814600125e-05,2.0090572401830825e-05,4.456375389898991e-05,9.655785292371532e-06,3.912053631789985e-05,1.2654370512242463,0.32916393823185036
learnable_seasonal_cdf_rz,4,16,5,7.68475860855877e-05,1.394184833267142e-05,4.174319099018479e-05,6.183055748254948e-06,3.6524525757158205e-05,1.2590708504264203,0.22842324308281353
learnable_seasonal_cdf_rz,4,17,5,0.00010861145514488692,2.7009378840168388e-05,5.983648048352297e-05,1.4510853594270715e-05,5.288831337899506e-05,1.7794900810943843,0.44252166291776296
learnable_seasonal_cdf_rz,4,18,5,0.00015573762611443783,8.440579214251401e-05,8.514226030521681e-05,4.9309292571108655e-05,6.732428323044937e-05,2.55160526625954,1.382904498463529
learnable_seasonal_cdf_rz,4,19,5,0.00010309140315888463,4.139564641966022e-05,5.877875068675512e-05,2.3311483562402334e-05,5.102288008244246e-05,1.6890495493555195,0.6782262709400891
learnable_seasonal_cdf_rz,4,20,5,6.940677066323317e-05,2.027136699828085e-05,3.92874542164312e-05,6.673376098633049e-06,3.1371555941698935e-05,1.1371605305465633,0.33212607690015133
learnable_seasonal_cdf_rz,4,21,5,7.9540360815157e-05,2.5622162565835386e-05,4.650323362567607e-05,1.342815052741751e-05,4.063073106950306e-05,1.3031892715958557,0.4197935114792804
learnable_seasonal_cdf_rz,4,22,5,8.33723242989179e-05,2.9244800365958255e-05,4.4126511782021605e-05,1.1018956237791483e-05,3.873639555328893e-05,1.3659721613135831,0.4791468091960824
learnable_seasonal_cdf_rz,4,23,5,0.00041170226014870006,0.00016689538553928357,0.00018530680960174,5.649414836714021e-05,0.00015974636044055343,6.745329830276974,2.734413996676123
learnable_seasonal_cdf_rz,4,24,5,0.06044604346185785,0.013732094336699642,0.0326260489493133,0.013278907641892601,0.03158673972574656,990.3479760790794,224.98663361248663
learnable_seasonal_cdf_rz,4,25,5,0.00053411750646552,0.00029830545956548984,0.00018093299675292252,7.717602426846538e-05,0.00016654347216320963,8.750981225931698,4.887436649520825
learnable_seasonal_cdf_rz,4,26,5,8.37075614126041e-05,2.567432892124739e-05,4.566821337636301e-05,3.884401914401745e-06,3.8156823246128445e-05,1.3714646861842419,0.42064820504595357
learnable_seasonal_cdf_rz,4,27,5,7.006888652415623e-05,1.683291461820975e-05,4.414895926180703e-05,9.597440238634865e-06,3.691693001430019e-05,1.1480086368117755,0.2757904731047485
learnable_seasonal_cdf_rz,4,28,5,7.649131132145387e-05,1.4625730767276416e-05,4.5155677680293735e-05,7.330176368288073e-06,3.616834753109318e-05,1.253233644690857,0.23962797289137422
learnable_seasonal_cdf_rz,4,29,5,0.00010587722894076076,4.269532752945435e-05,5.486092167753883e-05,2.4616853097928836e-05,5.056981527274034e-05,1.7346925189658715,0.6995202462432492
learnable_seasonal_cdf_rz,4,30,5,0.00019220861335895727,0.00012682595928797258,8.158918540486604e-05,4.942302863013323e-05,7.561274102959648e-05,3.149145921273552,2.0779165169745966
